permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/canal-do-credito,Canal do Credito,http://www.canaldocredito.com.br,finance," 750,000 ",operating,BRA,,Belo Horizonte,Belo Horizonte,1,,,,,1/1/10,1/1/10,
/company/waywire,#waywire,http://www.waywire.com,news," 1,750,000 ",acquired,USA,NY,New York,New York,1,6/1/12, 2012-06 ,2012-Q2,2012,6/30/12,6/30/12,10/17/13
/company/tv-communications,&TV Communications,http://enjoyandtv.com,games_video," 4,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,2,,,,,6/4/10,9/23/10,
/company/rock-your-paper-2,'Rock' Your Paper,http://www.rockyourpaper.org,education," 40,000 ",operating,EST,,Tallinn,Tallinn,1,10/26/12, 2012-10 ,2012-Q4,2012,8/9/12,8/9/12,
