permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/canal-do-credito,Canal do Credito,http://www.canaldocredito.com.br,finance,"750,000",operating,BRA,,Belo Horizonte,Belo Horizonte,1,,,,,1/1/10,1/1/10,
/company/waywire,#waywire,http://www.waywire.com,news,"1,750,000",acquired,USA,NY,New York,New York,1,6/1/12, 2012-06 ,2012-Q2,2012,6/30/12,6/30/12,10/17/13
/company/tv-communications,&TV Communications,http://enjoyandtv.com,games_video,"4,000,000",operating,USA,CA,Los Angeles,Los Angeles,2,,,,,6/4/10,9/23/10,
/company/rock-your-paper-2,'Rock' Your Paper,http://www.rockyourpaper.org,education,"40,000",operating,EST,,Tallinn,Tallinn,1,10/26/12, 2012-10 ,2012-Q4,2012,8/9/12,8/9/12,
/company/in-touch-network,(In)Touch Network,http://www.InTouchNetwork.com,ecommerce,"1,500,000",operating,GBR,,London,London,1,4/1/11, 2011-04 ,2011-Q2,2011,4/1/11,4/1/11,11/15/13
/company/n-plusn,#NAME?,http://plusn.com,software,"600,000",operating,USA,NY,New York,New York,1,1/1/12, 2012-01 ,2012-Q1,2012,8/29/12,8/29/12,
/company/club-domains,.Club Domains,http://dotclub.com,software,"7,000,000",operating,USA,FL,Fort Lauderdale,Oakland Park,1,10/10/11, 2011-10 ,2011-Q4,2011,5/31/13,5/31/13,
/company/fox-networks,.Fox Networks,http://www.dotfox.com,advertising,"4,912,394",closed,ARG,,Buenos Aires,Buenos Aires,1,,,,,1/16/07,1/16/07,7/1/08
/company/0-6-com,0-6.com,http://www.0-6.com,web,"2,000,000",operating,,,unknown,,1,1/1/07, 2007-01 ,2007-Q1,2007,3/19/08,3/19/08,
/company/0xdata,0xdata,http://www.0xdata.com,analytics,"1,700,000",operating,USA,CA,SF Bay,Mountain View,1,1/1/11, 2011-01 ,2011-Q1,2011,1/3/13,1/3/13,1/1/12
/company/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,ecommerce,"40,000",operating,CHL,,Las Condes,Las Condes,1,1/1/12, 2012-01 ,2012-Q1,2012,2/18/13,2/18/13,
/company/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,health,,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/86, 1986-01 ,1986-Q1,1986,8/19/10,8/19/10,8/19/10
/company/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,health,"1,750,000",operating,USA,NJ,Iselin,Iselin,1,1/1/84, 1984-01 ,1984-Q1,1984,3/2/11,3/2/11,
/company/10-20-media,10-20 Media,http://www.10-20media.com,ecommerce,"2,050,000",operating,USA,MD,Washington DC,Woodbine,4,1/1/01, 2001-01 ,2001-Q1,2001,6/18/09,12/28/11,
/company/1000-corks,1000 Corks,http://1000corks.com,search,"40,000",operating,USA,OR,Portland,Lake Oswego,1,1/1/08, 2008-01 ,2008-Q1,2008,8/23/11,8/23/11,
/company/1000-markets,1000 Markets,http://www.1000markets.com,ecommerce,"500,000",acquired,,,unknown,,1,1/1/09, 2009-01 ,2009-Q1,2009,5/15/09,5/15/09,9/21/10
/company/1000jobboersen-de,1000jobboersen.de,http://www.1000jobboersen.de,web,,operating,DEU,,Germany - Other,,1,,,,,9/16/11,9/16/11,
