permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
/company/the-green-office,The Green Office,http://www.thegreenoffice.com,cleantech,,operating,USA,CA,SF Bay,San Francisco,2,12/31/00, 2005-01 ,2005-Q1,2005,12/31/00,12/31/02,12/31/02,,,,,,,,
/company/the-green-way,The Green Way,http://www.green-way.co.il,cleantech,"17,500,000",operating,,,unknown,,2,12/31/92, 1997-01 ,1997-Q1,1997,4/30/04,6/24/04,,,,,,,,,
/company/daily-grommet,The Grommet,http://www.thegrommet.com,news,"5,708,020",operating,USA,MA,Boston,Somerville,5,12/31/03, 2008-01 ,2008-Q1,2008,4/14/06,9/16/08,1/4/07,,,,,,,,
/company/the-guild,The Guild,http://www.artfulhome.com,ecommerce,"2,500,000",operating,USA,WI,Madison,Madison,1,12/31/80, 1985-01 ,1985-Q1,1985,12/31/03,12/31/03,12/31/07,,,,,,,,
/company/the-gunbox,The GunBox,http://thegunbox.com,,"139,000",operating,USA,UT,Salt Lake City,Lehi,1,12/31/07, 2012-01 ,2012-Q1,2012,10/27/09,10/27/09,,,,,,,,,
/company/the-health-wagon,The Health Wagon,http://thehealthwagon.org,health,"200,000",operating,USA,VA,TBD,Wise,1,12/31/75, 1980-01 ,1980-Q1,1980,2/10/10,2/10/10,,,,,,,,,
/company/the-highway-girl,The Highway Girl,http://www.thehighwaygirl.com,web,,operating,USA,GA,Atlanta,Atlanta,1,1/31/01, 2005-02 ,2005-Q1,2005,4/30/04,4/30/04,3/16/06,,,,,,,,
/company/the-history-press,The History Press,http://www.thehistorypress.co.uk,,,operating,GBR,,Gloucestershire,Gloucestershire,1,,,,,3/1/06,3/1/06,,,,,,,,,
/company/the-hitch,The Hitch,http://thehitch.com,web,"50,000",operating,USA,NY,New York,Brooklyn,1,,,,,7/31/09,7/31/09,9/9/09,,,,,,,,
/company/the-hive-group,The Hive Group,http://hivegroup.com,software,"116,000",operating,USA,TX,Dallas,Richardson,1,12/31/95, 2000-01 ,2000-Q1,2000,9/1/05,9/1/05,,,,,,,,,
